data_set,table_name,org_column,new_column
sighting,source_africa,date_witness,date_witness
sighting,source_africa,date_agent,date_agent
sighting,source_africa,witness,witness
sighting,source_africa,agent,agent
sighting,source_africa,latitude,latitude
sighting,source_africa,longitude,longitude
sighting,source_africa,city,city
sighting,source_africa,country,country
sighting,source_africa,region_hq,city_agent
sighting,source_africa,has_weapon,has_weapon
sighting,source_africa,has_hat,has_hat
sighting,source_africa,has_jacket,has_jacket
sighting,source_africa,behavior,behavior
sighting,source_america,date_witness,date_witness
sighting,source_america,date_agent,date_agent
sighting,source_america,witness,witness
sighting,source_america,agent,agent
sighting,source_america,latitude,latitude
sighting,source_america,longitude,longitude
sighting,source_america,city,city
sighting,source_america,country,country
sighting,source_america,region_hq,city_agent
sighting,source_america,has_weapon,has_weapon
sighting,source_america,has_hat,has_hat
sighting,source_america,has_jacket,has_jacket
sighting,source_america,behavior,behavior
sighting,source_asia,sighting,date_witness
sighting,source_asia,报道,date_agent
sighting,source_asia,citizen,witness
sighting,source_asia,officer,agent
sighting,source_asia,纬度,latitude
sighting,source_asia,经度,longitude
sighting,source_asia,city,city
sighting,source_asia,nation,country
sighting,source_asia,city_interpol,city_agent
sighting,source_asia,has_weapon,has_weapon
sighting,source_asia,has_hat,has_hat
sighting,source_asia,has_jacket,has_jacket
sighting,source_asia,behavior,behavior
sighting,source_atlantic,date_witness,date_witness
sighting,source_atlantic,date_agent,date_agent
sighting,source_atlantic,witness,witness
sighting,source_atlantic,agent,agent
sighting,source_atlantic,latitude,latitude
sighting,source_atlantic,longitude,longitude
sighting,source_atlantic,city,city
sighting,source_atlantic,country,country
sighting,source_atlantic,region_hq,city_agent
sighting,source_atlantic,has_weapon,has_weapon
sighting,source_atlantic,has_hat,has_hat
sighting,source_atlantic,has_jacket,has_jacket
sighting,source_atlantic,behavior,behavior
sighting,source_australia,witnessed,date_witness
sighting,source_australia,reported,date_agent
sighting,source_australia,observer,witness
sighting,source_australia,field_chap,agent
sighting,source_australia,lat,latitude
sighting,source_australia,long,longitude
sighting,source_australia,place,city
sighting,source_australia,nation,country
sighting,source_australia,interpol_spot,city_agent
sighting,source_australia,has_weapon,has_weapon
sighting,source_australia,has_hat,has_hat
sighting,source_australia,has_jacket,has_jacket
sighting,source_australia,state_of_mind,behavior
sighting,source_europe,date_witness,date_witness
sighting,source_europe,date_filed,date_agent
sighting,source_europe,witness,witness
sighting,source_europe,agent,agent
sighting,source_europe,lat_,latitude
sighting,source_europe,long_,longitude
sighting,source_europe,city,city
sighting,source_europe,country,country
sighting,source_europe,region_hq,city_agent
sighting,source_europe,armed?,has_weapon
sighting,source_europe,chapeau?,has_hat
sighting,source_europe,coat?,has_jacket
sighting,source_europe,observed_action,behavior
sighting,source_indian,date_witness,date_witness
sighting,source_indian,date_agent,date_agent
sighting,source_indian,witness,witness
sighting,source_indian,agent,agent
sighting,source_indian,latitude,latitude
sighting,source_indian,longitude,longitude
sighting,source_indian,city,city
sighting,source_indian,country,country
sighting,source_indian,region_hq,city_agent
sighting,source_indian,has_weapon,has_weapon
sighting,source_indian,has_hat,has_hat
sighting,source_indian,has_jacket,has_jacket
sighting,source_indian,behavior,behavior
sighting,source_pacific,sight_on,date_witness
sighting,source_pacific,file_on,date_agent
sighting,source_pacific,sighter,witness
sighting,source_pacific,filer,agent
sighting,source_pacific,lat,latitude
sighting,source_pacific,long,longitude
sighting,source_pacific,town,city
sighting,source_pacific,nation,country
sighting,source_pacific,report_office,city_agent
sighting,source_pacific,has_weapon,has_weapon
sighting,source_pacific,has_hat,has_hat
sighting,source_pacific,has_jacket,has_jacket
sighting,source_pacific,behavior,behavior
